Country,ISO_Code,Level,GDLCODE,Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,GDLCODE,Income
Afghanistan,AFG,Subnat,AFGr101,Central (Kabul Wardak Kapisa Logar Parwan Panjsher),2.879,2.402,2.264,1.553,1.114,1.6,1.449,1.329,1.233,1.138,1.035,0.932,1.488,1.511,1.444,1.54,1.601,1.757,1.753,1.94,2.177,2.09,2.268,2.296,2.25,2.212,2.19,2.192,2.165,,AFGr101,2.177
Afghanistan,AFG,Subnat,AFGr102,Central Highlands (Bamyan Daikundi),1.826,1.54,1.456,1.021,0.746,1.05,0.956,0.881,0.821,0.761,0.696,0.631,0.98,0.994,0.953,1.012,1.05,1.147,1.144,1.259,1.403,1.335,1.425,1.425,1.382,1.344,1.332,1.333,1.318,,AFGr102,1.403
Afghanistan,AFG,Subnat,AFGr103,East (Nangarhar Kunar Laghman Nooristan),1.87,1.576,1.49,1.043,0.762,1.073,0.977,0.9,0.838,0.777,0.711,0.644,1.002,1.016,0.974,1.035,1.073,1.172,1.17,1.287,1.436,1.355,1.436,1.425,1.372,1.326,1.314,1.315,1.299,,AFGr103,1.436
Afghanistan,AFG,Subnat,AFGr104,North (Samangan Sar-e-Pul Balkh Jawzjan Faryab),1.932,1.627,1.538,1.075,0.784,1.106,1.007,0.927,0.863,0.8,0.731,0.662,1.032,1.047,1.003,1.066,1.106,1.209,1.206,1.328,1.482,1.525,1.766,1.913,2.007,2.109,2.089,2.091,2.065,,AFGr104,1.482
Afghanistan,AFG,Subnat,AFGr105,North East (Baghlan Takhar Badakhshan Kunduz),2.145,1.802,1.702,1.184,0.86,1.218,1.107,1.019,0.948,0.877,0.801,0.724,1.136,1.153,1.104,1.174,1.219,1.333,1.33,1.467,1.639,1.551,1.651,1.644,1.587,1.537,1.523,1.524,1.506,,AFGr105,1.639
Afghanistan,AFG,Subnat,AFGr106,South (Uruzgan Helmand Zabul Nimroz Kandahar),2.051,1.725,1.63,1.136,0.827,1.169,1.063,0.978,0.911,0.843,0.77,0.697,1.09,1.106,1.06,1.127,1.17,1.279,1.276,1.406,1.57,1.535,1.688,1.736,1.731,1.73,1.714,1.715,1.695,,AFGr106,1.57
Afghanistan,AFG,Subnat,AFGr107,South East (Ghazni Paktya Paktika Khost),2.505,2.097,1.978,1.366,0.986,1.407,1.276,1.172,1.089,1.006,0.917,0.827,1.31,1.329,1.272,1.354,1.407,1.542,1.539,1.7,1.904,1.768,1.851,1.811,1.717,1.634,1.619,1.62,1.601,,AFGr107,1.904
Afghanistan,AFG,Subnat,AFGr108,West (Ghor Herat Badghis Farah),2.156,1.811,1.71,1.189,0.864,1.224,1.113,1.023,0.952,0.881,0.804,0.727,1.141,1.158,1.109,1.18,1.225,1.34,1.337,1.474,1.647,1.573,1.692,1.701,1.658,1.621,1.606,1.607,1.587,,AFGr108,1.647
Afghanistan,AFG,National,AFGt,Total,2.193,1.841,1.739,1.208,0.877,1.244,1.13,1.039,0.967,0.894,0.817,0.738,1.159,1.176,1.126,1.198,1.244,1.361,1.358,1.498,1.675,1.625,1.776,1.814,1.796,1.783,1.766,1.767,1.746,,AFGt,1.675
Angola,AGO,Subnat,AGOr201, Cabinda,,,,,,,,,,5.298,5.567,5.908,7.151,7.191,7.596,8.361,8.83,9.983,10.21,11.07,10.97,10.93,11.19,11.1,11.05,10.59,9.573,9.405,8.748,,AGOr201,10.97
Angola,AGO,Subnat,AGOr202, Zaire,,,,,,,,,,1.373,1.432,1.505,1.768,1.777,1.861,2.017,2.112,2.342,2.386,2.554,2.536,2.528,3.137,3.789,4.59,5.362,5.917,5.819,5.433,,AGOr202,2.536
Angola,AGO,Subnat,AGOr203, Uige,,,,,,,,,,2.24,2.343,2.471,2.934,2.949,3.098,3.377,3.547,3.961,4.04,4.346,4.313,4.297,4.245,4.079,3.93,3.66,3.24,3.19,2.993,,AGOr203,4.313
Angola,AGO,Subnat,AGOr204, Luanda,,,,,,,,,,8.538,8.996,9.578,11.72,11.79,12.49,13.82,14.64,16.66,17.05,18.58,18.41,18.33,18.64,18.35,18.12,17.18,15.33,15.05,13.94,,AGOr204,18.41
Angola,AGO,Subnat,AGOr205, Kuanza Norte,,,,,,,,,,1.733,1.809,1.905,2.249,2.26,2.37,2.576,2.702,3.006,3.064,3.288,3.264,3.252,3.574,3.823,4.099,4.246,4.168,4.101,3.84,,AGOr205,3.264
Angola,AGO,Subnat,AGOr206, Kuanza Sul,,,,,,,,,,1.43,1.491,1.568,1.844,1.853,1.941,2.105,2.205,2.446,2.492,2.669,2.65,2.641,2.862,3.019,3.195,3.268,3.174,3.125,2.933,,AGOr206,2.65
Angola,AGO,Subnat,AGOr207, Malange,,,,,,,,,,1.716,1.792,1.887,2.227,2.238,2.347,2.551,2.674,2.975,3.033,3.253,3.23,3.219,3.639,4.003,4.416,4.702,4.741,4.664,4.362,,AGOr207,3.23
Angola,AGO,Subnat,AGOr208, Lunda Norte,,,,,,,,,,1.425,1.486,1.563,1.837,1.846,1.934,2.098,2.197,2.437,2.483,2.659,2.641,2.632,2.968,3.259,3.588,3.817,3.849,3.788,3.549,,AGOr208,2.641
Angola,AGO,Subnat,AGOr209, Benguela,,,,,,,,,,4.005,4.202,4.45,5.353,5.382,5.675,6.227,6.564,7.392,7.551,8.165,8.1,8.068,7.672,7.08,6.556,5.856,4.96,4.879,4.562,,AGOr209,8.1
Angola,AGO,Subnat,AGOr210, Huambo,,,,,,,,,,2.453,2.566,2.708,3.222,3.239,3.405,3.715,3.904,4.366,4.454,4.794,4.758,4.741,4.849,4.821,4.808,4.63,4.229,4.161,3.896,,AGOr210,4.758
Angola,AGO,Subnat,AGOr211, Bie,,,,,,,,,,1.23,1.282,1.347,1.578,1.585,1.659,1.796,1.88,2.081,2.119,2.267,2.251,2.243,2.477,2.664,2.874,2.998,2.97,2.925,2.746,,AGOr211,2.251
Angola,AGO,Subnat,AGOr212, Moxico,,,,,,,,,,1.558,1.626,1.711,2.015,2.025,2.122,2.304,2.415,2.682,2.733,2.93,2.909,2.899,3.115,3.259,3.418,3.466,3.337,3.285,3.081,,AGOr212,2.909
Angola,AGO,Subnat,AGOr213, Kuando Kubango,,,,,,,,,,1.142,1.189,1.249,1.461,1.467,1.535,1.661,1.737,1.921,1.956,2.09,2.076,2.069,2.414,2.746,3.13,3.449,3.603,3.546,3.324,,AGOr213,2.076
Angola,AGO,Subnat,AGOr214, Namibe,,,,,,,,,,3.481,3.649,3.861,4.629,4.654,4.903,5.372,5.658,6.358,6.493,7.012,6.957,6.93,6.954,6.776,6.623,6.242,5.572,5.48,5.119,,AGOr214,6.957
Angola,AGO,Subnat,AGOr215, Huila,,,,,,,,,,3.012,3.155,3.335,3.986,4.007,4.218,4.613,4.854,5.444,5.557,5.993,5.947,5.924,5.688,5.306,4.965,4.487,3.85,3.79,3.55,,AGOr215,5.947
Angola,AGO,Subnat,AGOr216, Cunene,,,,,,,,,,1.839,1.92,2.023,2.391,2.403,2.522,2.743,2.877,3.204,3.266,3.506,3.481,3.469,3.579,3.594,3.62,3.524,3.258,3.208,3.01,,AGOr216,3.481
Angola,AGO,Subnat,AGOr217, Lunda Sul,,,,,,,,,,1.197,1.247,1.31,1.533,1.541,1.612,1.745,1.826,2.02,2.057,2.2,2.185,2.177,2.633,3.102,3.664,4.179,4.512,4.439,4.154,,AGOr217,2.185
Angola,AGO,Subnat,AGOr218, Bengo,,,,,,,,,,2.13,2.227,2.348,2.785,2.799,2.94,3.203,3.363,3.753,3.827,4.114,4.084,4.069,4.383,4.592,4.824,4.891,4.699,4.623,4.324,,AGOr218,4.084
Angola,AGO,National,AGOt,Total,,,,,,,,,,2.952,3.092,3.268,3.904,3.924,4.13,4.516,4.751,5.327,5.437,5.863,5.818,5.796,6.128,6.294,6.484,6.44,6.051,5.95,5.555,,AGOt,5.818
Albania,ALB,Subnat,ALBr201, Berat,4.494,3.192,2.906,3.318,3.663,4.243,4.677,4.185,4.611,5.235,5.665,6.207,6.478,6.888,7.283,7.702,8.306,8.891,9.461,9.672,10.06,10.36,10.36,10.64,10.68,10.88,11.21,11.4,11.85,,ALBr201,10.06
Albania,ALB,Subnat,ALBr202, Diber,4.441,3.155,2.873,3.28,3.62,4.192,4.621,4.136,4.556,5.172,5.596,6.13,6.397,6.802,7.191,7.604,7.836,8.011,8.139,7.945,8.474,8.96,9.199,9.708,10.01,10.48,11.09,11.59,12.05,,ALBr202,8.474
Albania,ALB,Subnat,ALBr203, Durres,4.577,3.248,2.956,3.376,3.728,4.32,4.763,4.261,4.696,5.333,5.772,6.325,6.602,7.021,7.424,7.852,8.476,9.083,9.676,9.9,10.47,10.97,11.16,11.67,11.91,12.35,12.95,13.41,13.95,,ALBr203,10.47
